age_as_printed,value
20,538.7375773991937
21,548.5460627049777
22,555.394038660767
23,562.0100850075944
24,568.621544669103
25,573.7002881454783
26,578.6612838071705
27,583.6222803913811
28,587.0447753700012
29,588.8182009159767
30,590.4735436942734
31,592.1288864725701
32,592.2472886158339
33,592.2472886158339
34,590.7108467018364
35,589.0549251895636
36,587.4001064638271
37,584.2119623086295
38,580.9072371876259
39,577.5969462615507
40,572.7590567919556
41,567.7937699788666
42,562.8372471135905
43,556.3396816731621
44,549.728218600611
45,544.6443625748192
46,538.150777338621
47,530.0025955961162
48,523.2704653255387
49,515.1177419192454
50,506.8508467638795
51,498.5843242772468
52,490.3178017906142
53,482.04645816119074
54,472.247568347563
55,462.32441954269234
56,452.4071516019445
57,442.48555783155916
58,431.02731848425015
59,419.45006373513746
60,407.8774831927834
61,396.3005901655572
62,383.191575243726
63,368.43220136713313
64,355.0815047675006
65,349.5289215159027
66,346.1042517781957
67,341.2624812974102
68,337.83295037859926
69,332.99072485907703
70,328.03134875589166
71,321.5327075747118
72,316.4540886315235
73,311.4932244495446
74,305.0033598545995
75,298.3901905641789
76,291.77411858993946
77,285.1646303680968
78,277.015518559072
79,270.2822420334395
80,262.1353235914615
81,253.87135873808248
82,244.05731778612613
83,234.13909319494843
84,225.7559409621413
85,214.41536826414958
86,204.37687125842666
87,192.92943448369448
88,179.81707107060907
89,168.12500311453292
90,155.00804623688796
91,140.24420720266406
92,126.89684225202889
93,110.61306551380596
94,95.60165357510134
95,77.66299543872657
96,61.004735584508495
97,41.400918240317196
98,21.55706231625468
99,
